cluster,framing (verbatim hook),advertiser,longest_run_days,total_span_days,relaunch,variants,countries,eu_reach,price,LP type,lp_h1,domain
C2,It's 11pm. The house is finally quiet — but your mind is still carrying everyone else's worries.,Lamate - Amsterdam,45,45,False,1,GBUS,,$39.00,direct_checkout,"Protect your energy. 
Wear your intention.",lamatejewelry.com
C2,Being unable to switch off after work isn't a personality trait. It's your nervous system stuck in a gear it can't get out of. Mad honey has a naturally occurring compound called grayanotoxin that physically addresses that. Not gradually over weeks. Within 30 minutes of taking a spoon. This batch is nearly out. Grab your jar before they're still on sale.,Real Mad Honey,45,45,False,1,GB,,£0.00,direct_checkout,Wild Mad Honey Nature’s Rarest Ritual in a Jar,realmadhoney.uk
C3,🕰️💸 GRAB YOUR FREE 4 HOUR WORK DAY STARTER PACK VIA THE LINK BELOW ⬇️,Laura Lange,52,52,False,1,DEGBNLUS,1023,gated,application_form,Revenue Infrastructure for Modern Creators,itslauralange.thrivecart.com
C4,Welcome to Within – The Ultimate Darkness Retreat 🌑. Discover a place where complete darkness and silence reveal the power within you. Are you ready for a life-changing journey?,Within The Ultimate Darkness Retreat,439,439,False,2,DK,22176,$1,application_form,Instagram,instagram.com
C4,When “it didn’t happen to me” still hurts: Vicarious trauma in the IVF community,Hope Affirm Thrive. Your Roadmap Through IVF,408,408,False,1,AUDEDKNL,1394,$1,application_form,Instagram,instagram.com
C4,"Life can feel heavy when you’re carrying anxiety, low mood, or old emotional wounds.",Field Wellness MicroDose,274,274,False,1,AUGBUS,,,,,Fieldnaturae.com
C4,THE 10-MINUTE TRICK THAT REDUCES ANXIETY,a.c.society,165,165,False,1,AUGBUS,1229,$1,application_form,Instagram,instagram.com
C4,"Your nervous system isn't listening to you anymore. It keeps that buzzing, wired alertness going long after your mind is exhausted, leaving you clenching your jaw by 10am. You can't 'think' your way to calm because stress isn't just in your head—it's a physical state, locked in your body by a dysregulated HPA-axis.",Dr. Sara B,146,146,False,1,AUUS,5096,gated,direct_checkout,"my NUMY
 – mynumy.com",mynumy.com
C4,Modern dating VS Sacred Union,nishwa_inner_alchemy_,137,137,False,1,AUUS,,$1,application_form,Instagram,instagram.com
C4,Dance & Wellness Retreat GIVEAWAY 💫 join me👇,Vince,122,122,False,1,DK,82304,$1,application_form,Instagram,instagram.com
C4,The data around wealth frequency shocked me—and it explains why most people stay stuck.”,Nilofer Safdar,118,118,False,1,AUGBUS,10550,,,,
C4,I want to be straight with you.,Luke Roe,115,115,False,2,GB,,gated,application_form,"Fed Up Of Going Round in Circles, Starting Over Again & Again With No Progress?",roeflexcoaching.com
C4,🌿 Mijn psycholoog noemt nooit boeken. In zes jaar therapie geen één keer.,Boekenvoordeziel,111,111,False,1,NL,180,€35,vsl,"Ontdek de verrassende methode die helpt om de  stortvloed aan gedachten te stoppen , je emoties te kalmeren en  innerlijke rust  te vinden —  zonder zelfdestructieve gewoontes of te doen alsof alles goed gaat terwijl dat",boekenvoordeziel.nl
C4,✨ Somatics & Embodied Awareness ✨,Somatic Therapeutic Yoga Training Ltd,110,110,False,1,DK,14788,gated,vsl,Somatic Therapeutic Yoga Training with Charlotte Watts,www.somatictherapeuticyoga.com
C4,"According to neuroscience, if you change your energy — you change your reality. ✨",Olga - Mindset Mastery & Manifestation,107,107,False,1,AUGBUS,,$1,application_form,Instagram,instagram.com
C4,"When I first heard ""frequency therapy wearable"" — I rolled my eyes a little.",The OneDevice,100,100,False,1,AUGB,,$0.00,direct_checkout,,theonedevice.com
C4,Don't let toxic emotions manifest into physical illness..,DailyOM,99,99,False,1,DK,2269,$1,application_form,DailyOM Home,dailyom.com
C4,"WATCH ONLINE: Bessel van der Kolk, Arielle Schwartz, Peter Levine, Andrea Kennedy, and 40+ world-renowned experts share body-first practices to help you release stress, restore calm, and reconnect with yourself — from the inside out.",Heart Mind Institute,92,92,False,1,DK,1707,gated,vsl,Somatic Healing Summit,somatichealingsummit.com
C4,Are you ready to live your life with . . .,Charlotte Watts Health,92,92,False,1,DK,23533,gated,unknown,Charlotte Watts Health,charlottewattshealth.com
C4,"𝐏𝐚𝐫𝐚𝐝𝐢𝐠𝐦-𝐒𝐡𝐢𝐟𝐭𝐢𝐧𝐠 𝐏𝐬𝐲𝐜𝐡𝐞𝐝𝐞𝐥𝐢𝐜 𝐈𝐧𝐭𝐞𝐠𝐫𝐚𝐭𝐢𝐨𝐧 𝐑𝐞𝐭𝐫𝐞𝐚𝐭 𝐢𝐧 𝐭𝐡𝐞 𝐍𝐞𝐭𝐡𝐞𝐫𝐥𝐚𝐧𝐝𝐬. A Sacred Journey of Healing, Transformation, and Awakening",Evolving Temple,88,88,False,1,DK,8954,gated,application_form,Welcome to  Evolving Temple,evolvingtemple.org
C4,You can't think your way out of survival mode.,The Bio-Axis,88,88,False,1,DK,3014,"€29,95",direct_checkout,THE BIO AXIS,thebioaxis.com
C4,Ladies! Strength training for women isn't just physical — it's mental training disguised as exercise.,Training Unity,82,82,False,2,GB,,,,,trainingunity.co.uk/6-weeks-kickstarter
